/home/ilchae/dataset/ILSVRC/Data/VID/train/ ./modules/imagenet_arrange.pkl
==== Start Cycle 0 ====
Cycle  0, K 172 (650), BinLoss 0.733, TripleLoss 0.220, Prec 0.272, Time 1.026
Cycle  0, K 173 (393), BinLoss 0.713, TripleLoss 0.176, Prec 0.196, Time 1.183
Cycle  0, K 174 (220), BinLoss 0.836, TripleLoss 0.204, Prec 0.253, Time 1.353
Cycle  0, K 175 (321), BinLoss 0.826, TripleLoss 0.176, Prec 0.333, Time 1.662
Cycle  0, K 176 (12), BinLoss 1.167, TripleLoss 0.175, Prec 0.156, Time 1.647
Cycle  0, K 177 (17), BinLoss 0.710, TripleLoss 0.293, Prec 0.320, Time 1.087
Cycle  0, K 178 (1227), BinLoss 0.744, TripleLoss 0.193, Prec 0.196, Time 1.343
Cycle  0, K 179 (851), BinLoss 1.008, TripleLoss 0.169, Prec 0.312, Time 0.462
Cycle  0, K 180 (1057), BinLoss 0.929, TripleLoss 0.237, Prec 0.199, Time 1.797
Cycle  0, K 181 (1264), BinLoss 0.745, TripleLoss 0.204, Prec 0.182, Time 1.467
Cycle  0, K 182 (267), BinLoss 0.753, TripleLoss 0.248, Prec 0.358, Time 1.130
Cycle  0, K 183 (1151), BinLoss 0.834, TripleLoss 0.309, Prec 0.209, Time 1.296
Cycle  0, K 184 (795), BinLoss 0.957, TripleLoss 0.138, Prec 0.472, Time 1.124
Cycle  0, K 185 (154), BinLoss 0.830, TripleLoss 0.165, Prec 0.178, Time 1.151
Cycle  0, K 186 (1128), BinLoss 1.028, TripleLoss 0.171, Prec 0.110, Time 1.296
Cycle  0, K 187 (297), BinLoss 0.775, TripleLoss 0.217, Prec 0.271, Time 1.205
Cycle  0, K 188 (1181), BinLoss 0.709, TripleLoss 0.364, Prec 0.257, Time 1.032
Cycle  0, K 189 (465), BinLoss 0.750, TripleLoss 0.261, Prec 0.176, Time 1.253
Cycle  0, K 190 (794), BinLoss 0.744, TripleLoss 0.099, Prec 0.355, Time 1.158
Cycle  0, K 191 (1322), BinLoss 0.828, TripleLoss 0.214, Prec 0.197, Time 1.216
Cycle  0, K 192 (1048), BinLoss 0.730, TripleLoss 0.319, Prec 0.203, Time 1.216
Cycle  0, K 193 (629), BinLoss 0.742, TripleLoss 0.149, Prec 0.218, Time 1.457
Cycle  0, K 194 (1406), BinLoss 0.836, TripleLoss 0.122, Prec 0.297, Time 1.143
Cycle  0, K 195 (438), BinLoss 0.948, TripleLoss 0.246, Prec 0.227, Time 0.357
Cycle  0, K 196 (39), BinLoss 0.935, TripleLoss 0.221, Prec 0.176, Time 1.119
Cycle  0, K 197 (943), BinLoss 0.764, TripleLoss 0.195, Prec 0.241, Time 0.938
Cycle  0, K 198 (1293), BinLoss 0.754, TripleLoss 0.209, Prec 0.147, Time 1.189
Cycle  0, K 199 (194), BinLoss 0.947, TripleLoss 0.168, Prec 0.243, Time 1.142
Cycle  0, K 200 (1038), BinLoss 0.844, TripleLoss 0.307, Prec 0.301, Time 1.181
Cycle  0, K 201 (301), BinLoss 0.788, TripleLoss 0.262, Prec 0.267, Time 1.180
Cycle  0, K 202 (1370), BinLoss 1.014, TripleLoss 0.338, Prec 0.226, Time 1.170
Cycle  0, K 203 (839), BinLoss 0.839, TripleLoss 0.293, Prec 0.303, Time 1.256
Cycle  0, K 204 (488), BinLoss 0.865, TripleLoss 0.258, Prec 0.253, Time 1.260
Cycle  0, K 205 (532), BinLoss 1.150, TripleLoss 0.177, Prec 0.251, Time 1.167
Cycle  0, K 206 (1007), BinLoss 0.821, TripleLoss 0.272, Prec 0.310, Time 1.290
Cycle  0, K 207 (1068), BinLoss 0.794, TripleLoss 0.268, Prec 0.198, Time 1.189
Cycle  0, K 208 (1229), BinLoss 1.079, TripleLoss 0.228, Prec 0.253, Time 1.286
Cycle  0, K 209 (556), BinLoss 1.009, TripleLoss 0.246, Prec 0.232, Time 1.269
Cycle  0, K 210 (355), BinLoss 0.959, TripleLoss 0.219, Prec 0.251, Time 1.334
Cycle  0, K 211 (1491), BinLoss 1.036, TripleLoss 0.150, Prec 0.222, Time 1.262
Cycle  0, K 212 (356), BinLoss 0.902, TripleLoss 0.230, Prec 0.178, Time 1.223
Cycle  0, K 213 (337), BinLoss 0.720, TripleLoss 0.244, Prec 0.331, Time 1.139
Cycle  0, K 214 (11), BinLoss 0.684, TripleLoss 0.408, Prec 0.214, Time 1.142
Cycle  0, K 215 (671), BinLoss 0.686, TripleLoss 0.177, Prec 0.249, Time 1.213
Cycle  0, K 216 (1395), BinLoss 0.658, TripleLoss 0.185, Prec 0.312, Time 0.441
Cycle  0, K 217 (1139), BinLoss 1.175, TripleLoss 0.207, Prec 0.312, Time 1.473
Cycle  0, K 218 (1066), BinLoss 0.692, TripleLoss 0.267, Prec 0.345, Time 1.257
Cycle  0, K 219 (857), BinLoss 1.021, TripleLoss 0.239, Prec 0.140, Time 1.266
Cycle  0, K 220 (1304), BinLoss 0.650, TripleLoss 0.156, Prec 0.278, Time 1.145
Cycle  0, K 221 (269), BinLoss 0.728, TripleLoss 0.119, Prec 0.203, Time 0.578
Cycle  0, K 222 (13), BinLoss 0.668, TripleLoss 0.260, Prec 0.298, Time 1.329
Cycle  0, K 223 (324), BinLoss 0.813, TripleLoss 0.082, Prec 0.281, Time 0.198
Cycle  0, K 224 (298), BinLoss 0.854, TripleLoss 0.205, Prec 0.189, Time 1.182
Cycle  0, K 225 (1296), BinLoss 0.745, TripleLoss 0.181, Prec 0.393, Time 1.176
Cycle  0, K 226 (633), BinLoss 0.713, TripleLoss 0.186, Prec 0.229, Time 1.181
Cycle  0, K 227 (1024), BinLoss 0.750, TripleLoss 0.117, Prec 0.264, Time 1.112
Cycle  0, K 228 ( 4), BinLoss 0.798, TripleLoss 0.240, Prec 0.172, Time 1.322
Cycle  0, K 229 (210), BinLoss 0.943, TripleLoss 0.244, Prec 0.246, Time 1.186
